word,frequency
combat,49
souls,41
bosses,30
boss,25
fun,24
play,21
games,20
demo,20
feels,19
art,17
weapon,15
runs,15
feel,15
style,15
lies,14
gameplay,14
skill,14
played,14
parry,14
difficulty,14
pretty,14
nioh,14
graphics,14
easy,14
weapons,13
3,13
playing,13
story,13
h1,13
love,13
lot,12
running,12
sekiro,12
amazing,12
time,12
enjoy,11
elden,11
mechanics,11
smooth,11
khazan,11
level,11
2,10
stamina,10
anime,10
recommend,10
fan,10
dark,9
settings,9
super,9
challenge,9
worth,9
gear,9
challenging,9
parrying,8
perfect,8
soulslike,8
solid,8
enemy,8
cool,8
mode,8
based,7
fps,7
wait,7
hard,7
awesome,7
design,7
annoying,6
100,6
fight,6
skills,6
experience,6
performance,6
satisfying,6
timing,6
beat,6
beautiful,6
optimized,6
action,6
fast,6
loot,6
takes,5
mission,5
hit,5
variety,5
deluxe,5
actual,5
parries,5
difficult,5
4,5
huge,5
ass,5
hp,5
day,5
damage,5
reflection,5
type,5
window,5
enemies,5
expect,5
character,5
highly,5
smoothly,5
nice,5
release,5
bad,5
unique,5
loving,5
1,5
max,5
normal,5
absolutely,4
gain,4
die,4
levels,4
sound,4
player,4
greatsword,4
types,4
locked,4
4k,4
start,4
punishing,4
attacks,4
plays,4
fluid,4
5,4
hour,4
hooked,4
viper,4
gon,4
basically,4
sword,4
tree,4
brink,4
visuals,4
attack,4
dodging,4
loved,4
learning,4
offers,4
review,4
progress,4
people,4
hours,4
bought,4
linear,4
players,4
genre,4
bugs,4
devs,4
fair,4
nexon,4
pc,4
rage,4
dfo,4
literally,3
trash,3
lose,3
ressources,3
change,3
120,3
4080,3
skillpoints,3
armour,3
experienced,3
short,3
access,3
gpu,3
decent,3
wukong,3
stages,3
set,3
lost,3
honest,3
consumables,3
upgrade,3
healing,3
stat,3
personally,3
honestly,3
extremely,3
flow,3
eyes,3
money,3
bit,3
hand,3
developers,3
stance,3
completely,3
designs,3
responsive,3
compared,3
designed,3
incredible,3
learn,3
optimization,3
enjoyable,3
tough,3
wow,3
battles,3
version,3
started,3
